text,label
สิ่งที่รักที่สุด ไม่จำเป็นต้องอยู่กับคนที่รักมากที่สุด เเต่บางที่สิ่งที่รักมากที่สุด ต้องอยู่กับคนที่รักษาดีที่สุด,0
น่ารักมากเลย ทั้งคุณอาและคุณหลานทั้งสองจ้า,0
วันนี้อาจารย์ทุกท่านออกมาให้ความรู้ได้อย่างยอดเยี่ยมมาก ขอบคุณอาจารย์ทุกท่าน พี่หนุ่มและทีมงานทุกท่านค่ะ เป็น EP ที่มีคุณภาพมากค่ะ,0
เวลามีเหตุการณ์ใหญ่ ก็พูดแบบนี้ตลอด ไม่ต้องกังวล ไม่ต้องแตกตื่น ประเทศไทยไม่เคยกลัวอะไรครับ รอให้มันเป็นเรื่องใหญ่ก่อน ค่อยออกมาขอโทษทีหลัง,0
ขอบคุณรายการ พี่หนุ่ม และทุกท่านที่อยู่ในรายการนี้นะคะ ที่นำเสนอสิ่งดี ๆ เพื่อเป็นความรู้ให้ปชช.ได้รับชมกันค่ะ,0
ร้ายแรงขนาดนี้นายกไม่สนใจอะไรเลย โบ๊ยไปให้คนอื่นอย่างเดียวเลย ถ้าเกิดท่านหรือครอบครัวท่านได้รับผลกระทบจากเรื่องนี้จะรู้สึกยังไง พฤติกรรมแบบนี้หวังว่าจะไม่มีคนไทยคนไหนโง่เลือกมันอีกนะ,1
อย่างน้อยประชาชนก็สบายใจขึ้นมาได้หน่อย ประชาชนที่ไม่เกี่ยวข้อง ก็ปลอดภัย แต่คนที่กระทำผิดไปจับเอามันออกมารู้ทั้งรู้เอามาขาย ทั้งตัวคุณและครอบครัวคุณ รับเวรรับกรรมไปเถอะกับคนที่ทำ,0
ขอบคุณอาจารย์ทุกๆท่านครับ วันนี้นักเรียนเเละชาวบ้านทุกๆคนที่ดูรายการโหนกระเเส ได้ความรู้มากๆเลยครับ,0
ประเด็นที่ประชาชนสนใจมาก และหวาดกลัวคือ หน่วยงานใหญ่ๆที่เกี่ยวข้องไม่ค่อยมีแอคชั่นอะไรกับเรื่องนี้เท่าไหร่ตั้งแต่แรก พอมีข่าวมีประเด็นก็ให้ความมั่นใจประชาชนไม่ได้ ว่าประชาชนควรปฏิบัติอย่างไร เพราะอย่าลืมมันคือสารพิษอันตรายต่อชีวิตนะครับ,0
นักแสดงหน้าใหม่งั้นๆๆๆละหล่อสวยกะงั้นๆๆๆละเฉยๆๆๆ,0
ทำไมคนที่อยู่รอบข้างพี่เบียร์เก่งกันมากเลย พี่ซิมดูดีขึ้นแบบบอกไม่ถูก,0
ดูแล้วไม่เบื่อเลยสองคนนี้ ยิ้มไม่หยุดดด,0
ขนาดเป็นผู้หญิงด้วยกัน ยังละลายเลย น่ารักมากก สาวไทยแบบเราสู้ไม่ได้แล้ว,0
ขอบคุณน้องซิมที่ดู แลเค้าดีมากๆ ครับ ตัวแทนคนไทยเลย ดูแลดีแบบนี้เค้าประทับใจ ประเทศเราแน่นอน เหมือนเป็นตัวแทนหมู่บ้าน ฮ่าๆ,0
หมานุษย์ มักหาเหตุผล ว่าเราคือฝ่ายธรรมมะ และรุมประชาฑัณ คนที่คิดต่าง ไม่ต่าง กับ คุณเทือก บักกี้ หรือใครต่อใครที่มันเล่นกีฬาสี,1
แมวเป็นสัตว์ที่อยากรู้อยากเห็น ทุกอย่างที่คาบได้เอาเข้าบ้านหมด กระต่าย หนู นก และไข่นก แมวทึ่บ้านไม่ขึ้นโต๊ะทานข้าวและโต๊ะทำอาหาร แต่เรื่องเอาสัตว์อื่นเข้าบ้านห้ามไม่ได้ คนเลี้ยงจะรู้ว่าแมวตัวเองเป็นอย่างไร เป็นกำลังใจให้ทุกฝ่ายค่ะ,0
กัมพูชาผ่านอะไรมาเยอะจริงๆ สงสารเราก็สงสารแต่ความผิดมันก็คือความผิด มันคนละเรื่องกัน ปล.อยากรู้ว่ากัมพูชาเขาไม่มีลิขสิทธิ์หรืออะไรประมาณนั้นกันเลยเหรอ นี่ขนาดระดับรัฐบาลยังเป็นซะขนาดนี้ วานผู้รู้มาตอบที นี่อยากรู้เผือกมากๆ,1
กุนขะมวยหัวควย,1
ลอะเทอะจัดไปเคลมว่าเขาเป็นคนประเทศตัวเอง และพอเขาปฏิเสธก็ไปโกรธเขาอีก งงจัดๆ,0
นิสัยแบบนี้ทั้งชาติเลยเหรอ ทำไมไม่มีชาวกัมพูชาที่มีความคิดเหลือในชาติเลยซักคนหรือไง,0
ก้อยเป็นผู้หญิงที่ไม่งี่เง่าเลยนะ เข้าใจนิกกี้ด้วยซ้ำว่าเป็นงาน ทำงานกับผู้หญิงบ่อย แต่เรื่องการถึงเนื้อถึงตัวนุ่นเราว่ามันเกินไปจริงๆอะ ทั้งหอมหัว หอมตัว จับนั้นจับนี้จนเราอึดอัด ในขณะที่ก้อยก็ทำงานกับผู้ชายเยอะเหมือนกัน แต่ไม่มีกรณีแบบนิกกี้เลย,0
ทีมรอดูผลค่ะ เผื่อเป็นหมา แต่ก้อยหาผช.ได้ดีกว่านี้นะ ไม่ได้เชียร์ให้เลิกเลยนะ แต่ก้อย เธอมีความสามารถที่จะหาผช.ที่ดีกว่านี้จริงๆ อย่ายึดติดกับแค่ว่าเค้าดีอย่างนั้นอย่างนี้ ไอ่ที่เค้าไม่ดีก็มีค่ะ มันหักล้างไม่ได้ค่ะ แต่ไม่ได้เชียร์ให้เลิกเลยจริงๆ เคารพการตัดสินใจของก้อยค่ะ,0
พูดยากมันเป็นเรื่องภายใน พวกเราคนนอก อาจมีหลายอย่างที่เราไม่รู้ มันอาจจะไม่แย่กว่าที่เราคิด หรือ โครตแย่กว่าที่เราคิดเราก็ไม่รู้ แต่ในมุมที่นิ๊กกี้แสดงให้ คนดูเห็นมันก็ไม่แปลกเลย ที่ทำให้คนคิดไปทางนัน ส่วนนั้นนิ๊กกี้ก็ต้องยอมรับคำวิจารณ์ การวิจารณ์ก็ควรอยู่ในขอบเขต เชนกัน ไม่ว่าเรื่องมันจะเป็นยังไง มันก็เรื่อวคนสองคนอยู่ดี ชาวเน็ตแบบเรา รอดูผลสรุปดีกว่า ถ้าเชียก้อยไม่ว่าก้อยจะติดสินใจยังไงก็ให้กำลังใจเขา ถ้าเชียนิกกี้ ก็ให้กำลังใจเขา ถ้ารักทั้งคู่ก็ให้กำลังใจทั้งคู่,1
พูดยากมันเป็นเรื่องภายใน พวกเราคนนอก อาจมีหลายอย่างที่เราไม่รู้ มันอาจจะไม่แย่กว่าที่เราคิด หรือ โครตแย่กว่าที่เราคิดเราก็ไม่รู้ แต่ในมุมที่นิ๊กกี้แสดงให้ คนดูเห็นมันก็ไม่แปลกเลย ที่ทำให้คนคิดไปทางนัน ส่วนนั้นนิ๊กกี้ก็ต้องยอมรับคำวิจารณ์ การวิจารณ์ก็ควรอยู่ในขอบเขต เชนกัน ไม่ว่าเรื่องมันจะเป็นยังไง มันก็เรื่อวคนสองคนอยู่ดี ชาวเน็ตแบบเรา รอดูผลสรุปดีกว่า ถ้าเชียก้อยไม่ว่าก้อยจะติดสินใจยังไงก็ให้กำลังใจเขา ถ้าเชียนิกกี้ ก็ให้กำลังใจเขา ถ้ารักทั้งคู่ก็ให้กำลังใจทั้งคู่,0
คอนเท้นก็เกินไปกุเป็น ผช ยังรู้สึกเลยลับหลังจะเป็นไง กุเห็นพี่น้องนี่แหละท้องมาหลายรายละ รอดูกันต่อไป,1
คิดตามง่ายๆเลย ผู้ชายมันจะมีความเกรงใจแฟนระดับหนึ่งรู้ตัวเองดีว่าไม่ควรทำอะ อย่างนิกกี้อะ คอนเท้นที่ถ่ายก็ไม่ได้สด มึงพูดกับนุ้นก็ได้ว่า แบบนี้ไม่ได้แบบนี้ไม่ ok นะ พี่เกรงใจแฟนพี่ เนี่ย แค่เนี่ย รายการก็อัดเทป นิกกี้เอ้ย มึงไม่รู้หรือมึงแกล้งไม่รู้,1
คนเจ้าชู้ ยังไงก็แก้ไม่หาย จนกว่าจะรู้ตัวเอง,1
ผมว่ามันเป็นเรื่อง ส่วนตัวของเขาน่ะครับ ว่าเขาจะทะเลาะหรืออะไรกันก็ตาม ส่วนคนที่ว่าเขานั่นนี่ เรื่องบ้างเรื่องเขาไม่บอกเพราะไม่อยากให้ใครเสือกไง บ้างครั้งพูดได้ บ้างครั้งพูดไม่ได้ ถ้าต่างคนต่างคิดกันดีแล้ว ก็ให้เขาได้คุยกันเองเถอะครับ อย่าไปยุเขาจะดีกว่า ถ้าวันนึงมันเกิดกับตัวเอง ,1
ตั้งแต่ผมรู้จักนิกกี้ผมไม่ชอบขี้หน้ามันเลยสันดานเจ้าชู้มันทิ้งไม่ได้หรอก,1
นิกนี้ตัวจริงโคตรหยิ่งบอกให้ก่อนมีบ้านอยู่คอนโดย่านทองหล่อ เก็กชิหายและตึงมาก ต่างจากน้องชายมาก,1
ไอ่นิกกี้มันเกินไปครับ ทั้งมุขการแสดง การเล่น ใครชอบไม่ชอบไม่รู้ ผมคนนึงที่ไม่โอเคร กับการทำอะไร หลายๆอย่างที่มันทำ สงสารก่อนหว่ะ,1
คิดจะเลือกไอ้นิกกี้แล้ก็ต้องทำใจเมียมันเยอะ,1
